[LWC] error: Global error handler  Unexpected token ']', ..."
    },
  ]
}" is not valid JSON (Fri Feb 02 2024 15:2:56 }) 
[LWC] error: Global error handler  Unexpected token ']', ..."
    },
  ]
}" is not valid JSON (Fri Feb 02 2024 15:3:59 }) 
[LWC] error: Global error handler  payload.forEach is not a function (Fri Feb 02 2024 15:10:21 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:19:52 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:24:41 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:28:51 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:34:34 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:37:30 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:44:0 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:45:28 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:45:29 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:45:30 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:45:31 }) 
[LWC] error: Global error handler  data and salt arguments required (Fri Feb 02 2024 15:47:4 }) 
